Region,регіон, рік,кількість,тип
Ternopil's'ka oblast',Тернопільська,2010,14.4,промисловість
Ternopil's'ka oblast',Тернопільська,2017,14.2,промисловість
Kharkivs'ka oblast',Харківська,2010,21.4,промисловість
Kharkivs'ka oblast',Харківська,2017,31,промисловість
Khersons'ka oblast',Херсонська,2010,16.5,промисловість
Khersons'ka oblast',Херсонська,2017,15.1,промисловість
Khmel'nyts'ka oblast',Хмельницька,2010,19.4,промисловість
Khmel'nyts'ka oblast',Хмельницька,2017,17.5,промисловість
Cherkas'ka oblast',Черкаська,2010,25.9,промисловість
Cherkas'ka oblast',Черкаська,2017,25.2,промисловість
Chernihivs'ka oblast',Чернівецька,2010,11.9,промисловість
Chernihivs'ka oblast',Чернівецька,2017,10.7,промисловість
Chernivets'ka oblast',Чернігівська,2010,21.6,промисловість
Chernivets'ka oblast',Чернігівська,2017,20.5,промисловість
Misto Kyiv,м.Київ,2010,6.2,промисловість
Misto Kyiv,м.Київ,2017,10.1,промисловість
Ukraine,Україна,2010,3.3,будівництво
Ukraine,Україна,2017,2.5,будівництво
Vinnyts'ka oblast',Вінницька,2010,4.1,будівництво
Vinnyts'ka oblast',Вінницька,2017,2,будівництво
Volyns'ka oblast',Волинська,2010,3.2,будівництво
Volyns'ka oblast',Волинська,2017,2.1,будівництво
Dnipropetrovs'ka oblast',Дніпропетровська,2010,1.8,будівництво
Dnipropetrovs'ka oblast',Дніпропетровська,2017,1.8,будівництво
Donets'ka oblast',Донецька,2010,3.3,будівництво
Donets'ka oblast',Донецька,2017,1.7,будівництво
Zhytomyrs'ka oblast',Житомирська,2010,2.9,будівництво
Zhytomyrs'ka oblast',Житомирська,2017,1.5,будівництво
Zakarpats'ka oblast',Закарпатська,2010,3.8,будівництво
Zakarpats'ka oblast',Закарпатська,2017,3.1,будівництво
Zaporiz'ka oblast',Запорізька,2010,2,будівництво
Zaporiz'ka oblast',Запорізька,2017,1.2,будівництво
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,4.3,будівництво
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,4.5,будівництво
Kyivs'ka oblast',Київська,2010,5,будівництво
Kyivs'ka oblast',Київська,2017,4.2,будівництво
Kirovohrads'ka oblast',Кіровоградська,2010,2.3,будівництво
Kirovohrads'ka oblast',Кіровоградська,2017,1.2,будівництво
